question,option_a,option_b,option_c,option_d,correct_option,subject,difficulty
Which of the following strengthens the argument: 'Banning plastic bags will reduce ocean pollution'?,Plastic bags make up 80% of ocean debris,Plastic bags are cheap to produce,Many countries have already banned plastic bags,Paper bags also cause pollution,A,Logical Reasoning,Medium
Statement: Please do not lean out of the running train. Assumption I: Leaning out is dangerous. Assumption II: People generally read such notices. Which is implicit?,Only I,Only II,Both I and II,Neither,C,Logical Reasoning,Medium
"Find the odd one out: 121, 1331, 144, 1728, 169, 2197, 196, 2743",1728,2197,2743,1331,C,Logical Reasoning,Medium
"A group of 5 people sit in a line. P sits next to Q and R. S sits next to T but not R. If T is at the far right, who is at the far left?",P,Q,R,S,B,Logical Reasoning,Medium
Which is the odd one?,Tiger,Lion,Leopard,Cow,D,Logical Reasoning,Medium
"If '+' means '-', '-' means '*', '*' means '/', and '/' means '+', evaluate 15 - 3 + 10 * 5 / 5.",30,48,45,40,B,Logical Reasoning,Medium
"Find the next number: 1, 3, 7, 15, 31, ?",61,62,63,64,C,Logical Reasoning,Medium
Argument: Dogs are better pets than cats because dogs can be trained to protect the house. Assumption?,Cats cannot be trained,Protection is a valid criterion for evaluating pets,Dogs are inherently aggressive,Cats are bad pets,B,Logical Reasoning,Medium
"If the word 'LEADER' is coded as 20-13-9-12-13-26, how would you write 'LIGHT'?",20-17-15-16-28,20-16-15-17-22,20-15-16-18-23,20-17-15-18-28,A,Logical Reasoning,Medium
"P, Q, R, S, and T sit around a circular table. P is second to the right of T, who is to the immediate right of Q. R is not adjacent to P. Who sits to the immediate left of P?",S,Q,R,T,A,Logical Reasoning,Medium
What is the day of the week on 1st January 2001?,Sunday,Monday,Tuesday,Wednesday,B,Logical Reasoning,Medium
Some cats are dogs. No dog is a cow. Conclusion: No cat is a cow. Is this valid?,Yes,"No, some cats could be cows",Only if all cats are dogs,It is a paradox,B,Logical Reasoning,Medium
"Identify the odd pair: (2, 5), (3, 10), (4, 17), (5, 27)","(2, 5)","(3, 10)","(4, 17)","(5, 27)",D,Logical Reasoning,Medium
Argument: We should not fund space exploration while poverty exists. Flaw?,False dilemma (assumes we cannot do both),Ad hominem,Slippery slope,Circular reasoning,A,Logical Reasoning,Medium
"If 3 * 4 = 10, 5 * 6 = 22, then 7 * 8 = ?",38,40,42,44,A,Logical Reasoning,Medium
"Which of the following is equivalent to 'If you don't study, you will fail'?","If you study, you will pass","If you failed, you didn't study","If you passed, you studied",You must study to fail,C,Logical Reasoning,Medium
"A person walks 10 km North, turns right and walks 10 km, turns left and walks 10 km, turns left and walks 10 km. How far is he from the start?",10 km,20 km,30 km,0 km,B,Logical Reasoning,Medium
Find the missing letters: a_b_a_b_a_b,bbbaa,ababa,bbaab,babab,D,Logical Reasoning,Medium
All squares are rectangles. Some rectangles are circles. Conclusion: Some squares are circles. True?,Yes,No,Cannot be determined,Always true,B,Logical Reasoning,Medium
"In a certain code, 'ROAR' is written as 'URDU'. How is 'URDU' written in that code?",VXDX,XUXX,XUXW,XUDX,B,Logical Reasoning,Medium
Statement: 'A warning board reads: Trespassers will be prosecuted.' Assumption: People read and understand warnings. Implicit?,Yes,No,Only for trespassers,Cannot determine,A,Logical Reasoning,Medium
"Next in series: 2, 9, 28, 65, 126, ?",216,217,218,219,B,Logical Reasoning,Medium
Which word means the same as 'Enigma'?,Puzzle,Clarity,Answer,Solution,A,Logical Reasoning,Medium
A clock is set right at 5 AM. The clock loses 16 minutes in 24 hours. What will be the true time when the clock indicates 10 PM on the 4th day?,11 PM,10 PM,9 PM,8 PM,A,Logical Reasoning,Medium
"A mother is 3 times as old as her daughter. 10 years ago, she was 5 times as old. What is the mother's current age?",45,50,60,30,A,Logical Reasoning,Medium
Which conclusion follows: No fruits are vegetables. All potatoes are vegetables.,Some potatoes are fruits,No potatoes are fruits,All fruits are potatoes,Some fruits are potatoes,B,Logical Reasoning,Medium
"Identify the reasoning error: 'Everyone is buying this new smartphone, so it must be the best one.'",Straw man,Appeal to popularity,Red herring,False cause,B,Logical Reasoning,Medium
"Next in the sequence: C, F, I, L, O, ?",P,Q,R,S,C,Logical Reasoning,Medium
"Find the odd one out: 64, 125, 216, 343, 512, 729, 1000, 1331, 1729",216,512,1729,1331,C,Logical Reasoning,Medium
P is Q's brother. R is Q's mother. S is R's father. T is S's mother. How is P related to T?,Grandson,Great-grandson,Son,Nephew,B,Logical Reasoning,Medium
"If 'x' means '+', 'y' means '-', 'z' means '/', and 'w' means '*', then what is 10 w 2 x 5 y 5?",20,25,10,30,A,Logical Reasoning,Medium
Argument: Vitamin D supplements reduce depression. Weaken this argument:,Depression rates are highest in winter,Many people with depression have normal Vitamin D levels,Vitamin D is obtained from the sun,Supplements are expensive,B,Logical Reasoning,Medium
"Complete the series: 8, 4, 4, 6, 12, ?",24,30,36,42,B,Logical Reasoning,Medium
"Find the missing term: 1A, 4C, 9E, 16G, ?",25I,25J,36I,25H,A,Logical Reasoning,Medium
"Statement: 'To improve education, we must increase teacher salaries.' Assumption?",Higher salaries attract or retain better teachers,Education is currently poor,Teachers are underpaid,Money solves all problems,A,Logical Reasoning,Medium
"If 1 = 3, 2 = 3, 3 = 5, 4 = 4, 5 = 4, then 6 = ?",3,4,5,6,A,Logical Reasoning,Medium
Which word is the odd one out?,Jupiter,Mars,Moon,Venus,C,Logical Reasoning,Medium
No books are papers. Some papers are journals. Conclusion: Some journals are not books. Valid?,Yes,No,Only if all journals are papers,Cannot determine,A,Logical Reasoning,Medium
"Find the missing number: 3, 8, 22, 63, 185, ?",550,540,560,530,B,Logical Reasoning,Medium
"If A implies B, and B implies C, what is the inverse of A implies C?","If not A, then not C","If C, then A","If not C, then not A",A implies C,A,Logical Reasoning,Medium
Six people sit around a table. A is opposite B. C is to the right of A. D is opposite C. E is to the right of B. Where is F?,Between A and D,Between B and C,Opposite E,Left of C,A,Logical Reasoning,Medium
"Which assumption is necessary for the conclusion: 'Since organic food avoids synthetic pesticides, it is healthier.'?",Synthetic pesticides are harmful to human health,Organic food is more expensive,Everyone should eat organic food,Pesticides alter the taste of food,A,Logical Reasoning,Medium
"If the 15th of the month is the 3rd Tuesday, what day of the week is the 1st of the month?",Monday,Tuesday,Wednesday,Sunday,B,Logical Reasoning,Medium
"Look at this series: J14, L16, __, P20, R22. What fills the blank?",M18,N18,N19,O18,B,Logical Reasoning,Medium
"Argument: 'Because murder rates correlate with ice cream sales, eating ice cream causes violence.' Flaw?",Confuses correlation with causation,Circular reasoning,Ad hominem attack,Straw man fallacy,A,Logical Reasoning,Medium
"If 'rain' is water, 'water' is road, 'road' is cloud, 'cloud' is sky, 'sky' is sea, where do airplanes fly?",Sky,Sea,Cloud,Road,B,Logical Reasoning,Medium
"Complete the series: 2, 3, 7, 16, 32, ?",57,58,59,60,A,Logical Reasoning,Medium
"In a certain code, MONKEY is written as XDJMNL. How is TIGER written in that code?",QDFHS,SDFHS,SHFDQ,QDHJS,A,Logical Reasoning,Medium
"P, Q, R, S, T, U are in a family. P and Q are a married couple. P is male. S is the only son of R, who is the brother of P. T is the sister of S. U is the daughter-in-law of Q. How is U related to P?",Wife,Daughter-in-law,Sister-in-law,Daughter,B,Logical Reasoning,Medium
"If a = 1, b = 2... z = 26, what is the sum of the letters in the word 'MATH'?",41,42,43,44,B,Logical Reasoning,Medium
Argument: 'We must build a new stadium to attract tourists.' What is the underlying assumption?,The current stadium is old,A new stadium will successfully attract tourists,Tourists like sports,Building stadiums is cheap,B,Logical Reasoning,Medium
Which of the following is an odd pair?,"(11, 121)","(13, 169)","(15, 250)","(17, 289)",C,Logical Reasoning,Medium
All men are animals. Some animals are ferocious. Conclusion: Some men are ferocious. Is this true?,Yes,No,Some animals are men,Cannot be concluded logically,D,Logical Reasoning,Medium
"Complete the pattern: 2, 4, 12, 48, 240, ?",1440,1200,960,1680,A,Logical Reasoning,Medium
A clock is set at 8 AM. It gains 10 minutes every 24 hours. What will be the true time when the clock indicates 1 PM on the following day?,12:48 PM,12:00 PM,1:12 PM,1:00 PM,A,Logical Reasoning,Hard
"Find the missing term: 4, 18, 48, 100, 180, ?",294,310,280,320,A,Logical Reasoning,Hard
"If 'A * B' means A is the father of B, 'A + B' means A is the daughter of B, 'A / B' means A is the son of B. What does 'P + Q * R' mean?",P is the aunt of R,P is the sister of R,P is the mother of R,P is the niece of R,B,Logical Reasoning,Hard
"Five people are sitting in a row. A is to the left of B. C is to the right of B. D is to the left of A. E is to the right of C. If D is not at the extreme left, who is?",A,B,C,Cannot be determined,D,Logical Reasoning,Hard
"Argument: 'A study found that people who drink three cups of coffee a day live longer. Thus, coffee extends lifespan.' Which, if true, most seriously weakens the argument?",Coffee drinkers often have high-stress jobs,People who drink coffee are more likely to exercise and eat healthily,Coffee contains caffeine,Non-coffee drinkers live an average of 75 years,B,Logical Reasoning,Hard
"Identify the reasoning flaw: 'If we allow students to retake this exam, next they will want to retake every exam, and eventually they will expect to graduate without doing any work.'",Slippery slope,Ad hominem,Post hoc,Straw man,A,Logical Reasoning,Hard
"Only logic students can solve this puzzle. Mary solved this puzzle. Therefore, Mary is a logic student. What is the structure of this argument?",Denying the consequent,Affirming the consequent,Modus tollens,Modus ponens,D,Logical Reasoning,Hard
"In a certain code, '786' means 'study very hard', '958' means 'hard work pays' and '645' means 'study and work'. Which of the following is the code for 'very'?",8,6,7,5,C,Logical Reasoning,Hard
A cube is painted red on all faces and then cut into 27 smaller equal-sized cubes. How many small cubes have exactly two red faces?,12,8,6,4,A,Logical Reasoning,Hard
"Choose the odd one out based on letter positions: BDF, HJL, MOQ, SUW.",BDF,HJL,MOQ,SUW,C,Logical Reasoning,Hard
All A are B. All C are A. Some D are C. Conclusion I: Some D are B. Conclusion II: All C are B. Which follows?,Only I,Only II,Both I and II,Neither,C,Logical Reasoning,Hard
"Identify the missing number: 3, 10, 29, 66, 127, ?",218,220,216,224,A,Logical Reasoning,Hard
"An investor argued: 'Since company X's stock price dropped after the CEO resigned, the resignation caused the drop.' This assumes:",CEOs always affect stock prices,No other factors caused the drop simultaneously,The CEO was performing poorly,Stock prices are volatile,B,Logical Reasoning,Hard
"In a race of 5 people, A finished before B but behind C. D finished before E but behind B. Who came in second?",A,B,C,D,A,Logical Reasoning,Hard
Which of the following is equivalent to 'Not all birds can fly'?,No birds can fly,Some birds cannot fly,Some birds can fly,All birds cannot fly,B,Logical Reasoning,Hard
A watch gains 5 seconds in 3 minutes and was set right at 8 AM. What time will it show at 10 PM on the same day?,10:23:20 PM,10:15:00 PM,10:25:30 PM,10:20:00 PM,A,Logical Reasoning,Hard
"Complete the series: 0, 6, 24, 60, 120, 210, ?",336,340,343,350,A,Logical Reasoning,Hard
"Argument: 'Taxes on junk food should be increased to combat obesity, just as tobacco taxes reduced smoking.' The argument relies on which parallel?",Junk food is as addictive as tobacco,Higher costs deter consumers from purchasing harmful products,Obesity is as dangerous as lung cancer,Tobacco and junk food are produced by the same companies,B,Logical Reasoning,Hard
"Seven students sit in a row. A is left of B, but right of C. D is right of B, but left of E. F is right of E. G is left of C. Who is in the middle?",A,B,C,D,B,Logical Reasoning,Hard
"If it is Thursday today, what day will it be 345 days from now?",Monday,Tuesday,Wednesday,Thursday,A,Logical Reasoning,Hard
"If 'DELHI' is coded as '73541' and 'CALCUTTA' as '82589662', how can 'CALICUT' be coded?",5279431,5978213,8251896,8543691,C,Logical Reasoning,Hard
"Determine the next sequence: Q1F, S2E, U6D, W21C, ?",Y88B,Y66B,Z88B,Y44B,A,Logical Reasoning,Hard
Statement: 'The government has decided to levy a 2% tax on all agricultural income.' Assumption I: Farmers have sufficient income to pay. Assumption II: This will increase government revenue. Which is implicit?,Only I,Only II,Both I and II,Neither,C,Logical Reasoning,Hard
"Find the odd pair: (12, 144), (14, 196), (16, 256), (18, 326)","(12, 144)","(14, 196)","(16, 256)","(18, 326)",D,Logical Reasoning,Hard
Some bats are balls. No ball is a wicket. Conclusion I: Some bats are not wickets. Conclusion II: All wickets are bats. Which follows?,Only I,Only II,Both I and II,Neither,A,Logical Reasoning,Hard
"A man travels 4 km North, then 3 km East, then 8 km South, then 6 km West. How far is he from the starting point?",4 km,5 km,6 km,7 km,B,Logical Reasoning,Hard
Argument: 'Children who play violent video games are more aggressive. We should ban them.' Weaken the argument:,Video games are a large industry,Aggressive children are naturally drawn to violent video games,Parents should monitor their children,Some violent games require strategic thinking,B,Logical Reasoning,Hard
"Which term does not belong: 2, 5, 10, 17, 26, 37, 50, 64",26,37,50,64,D,Logical Reasoning,Hard
"A family consists of six members P, Q, R, X, Y and Z. Q is the son of R but R is not the mother of Q. P and R are a married couple. Y is the brother of R. X is the daughter of P. Z is the brother of P. How many male members are there?",2,3,4,5,C,Logical Reasoning,Hard
"Find the missing number: 2, 3, 8, 27, 112, ?",560,565,570,575,B,Logical Reasoning,Hard
"If you arrange the letters 'CIFAIPC' to form a geographical feature, what is the last letter of the word?",A,C,I,P,C,Logical Reasoning,Hard
"Six books P, Q, R, S, T, and U are placed side by side. R, Q, T have blue covers and others have red covers. Only S and U are new books. P, R, S are law reports; others are gazetteers. Which is the old blue gazetteer?",P,Q,R,T,D,Logical Reasoning,Hard
Which of the following describes 'Modus Tollens'?,If P then Q. P. Therefore Q.,If P then Q. Not Q. Therefore not P.,If P then Q. Not P. Therefore not Q.,If P then Q. Q. Therefore P.,B,Logical Reasoning,Hard
"Identify the missing term: 1, 1, 2, 6, 24, 120, 720, ?",4040,5040,5050,6060,B,Logical Reasoning,Hard
The angle between the minute hand and the hour hand of a clock when the time is 8:30 is:,75 degrees,80 degrees,85 degrees,90 degrees,A,Logical Reasoning,Hard
"Argument: 'Because there is no evidence that aliens do not exist, they must exist.' This is an example of:",Ad hominem,Appeal to ignorance,Begging the question,Hasty generalization,B,Logical Reasoning,Hard
"In a queue, Amrita is 10th from the front while Mukul is 25th from behind and Maha is just in the middle of the two. If there be 50 persons in the queue, what position does Maha occupy from the front?",16th,18th,20th,22nd,B,Logical Reasoning,Hard
"Complete the series: 3, 12, 27, 48, 75, 108, ?",147,162,183,192,A,Logical Reasoning,Hard
Statement: 'Use our software to increase your company's efficiency.' Assumption:,Efficiency is measurable,The software is expensive,Companies want to increase efficiency,Other software is inefficient,C,Logical Reasoning,Hard
"If all A are B, and no B are C. Which is definitely false?",Some A are C,No A are C,Some B are A,No C are B,A,Logical Reasoning,Hard
"Find the odd sequence: AEIM, BFJN, CGKO, DHLP, EIMQ, FJNQ",BFJN,CGKO,DHLP,FJNQ,D,Logical Reasoning,Hard
"If 'M' means 'is the brother of', 'N' means 'is the daughter of', 'O' means 'is the sister of', what does 'A N B M C O D' mean?",A is the niece of C,A is the niece of D,A is the sister of C,A is the daughter of D,A,Logical Reasoning,Hard
"Argument: 'Cars cause more accidents than motorcycles; therefore, motorcycles are safer.' Flaw?",Ignores the severity of accidents,Assumes cars and motorcycles are the only vehicles,Fails to account for the total number of cars vs. motorcycles on the road,Attacks car drivers,C,Logical Reasoning,Hard
"Look at this series: 2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, ... What is the next number?",39,41,43,47,B,Logical Reasoning,Hard
P is to the South of Q and East of R. S is to the South of R. In which direction is S with respect to Q?,South-West,North-East,South-East,North-West,A,Logical Reasoning,Hard
"Statement: 'Due to a lack of funding, the library will close on Sundays.' Assumption?",The library requires funding to operate on Sundays,Sundays are the busiest days,People do not read on Sundays,Funding will be restored next year,A,Logical Reasoning,Hard
"If a cube has 3 cuts made on each of its three axes (x, y, z), how many smaller pieces is it cut into?",27,64,16,12,B,Logical Reasoning,Hard
Which of the following weakens the conclusion 'School uniforms improve student performance'?,Uniforms are expensive for low-income families,A study showed schools with uniforms have the same test scores as schools without,Students dislike uniforms,Teachers prefer uniforms,B,Logical Reasoning,Hard
"Identify the missing number: 4, 9, 25, 49, 121, 169, ?",225,256,289,324,C,Logical Reasoning,Hard
Five horses run a race. Horse 1 finishes before Horse 2. Horse 3 finishes after Horse 4. Horse 2 finishes before Horse 4. Horse 5 finishes after Horse 3. Who wins?,Horse 1,Horse 2,Horse 4,Horse 5,A,Logical Reasoning,Hard
"If in a code, ALTERED is written as ZOGVIVW, how is RELATED written?",IVOZGVW,IVOZGVX,IVPZGVW,IVOGZVW,A,Logical Reasoning,Hard
"Argument: 'Every time it rains, the grass is wet. The grass is wet, so it must have rained.' Flaw?",Denying the antecedent,Affirming the consequent,Straw man,False dichotomy,B,Logical Reasoning,Hard
A survey found that cities with more hospitals have more sick people. Conclusion: Hospitals make people sick. Flaw?,Confusing cause and effect,Hasty generalization,Appeal to authority,Circular reasoning,A,Logical Reasoning,Hard
"Identify the odd one: 10, 26, 50, 82, 122, 170, 226, 290, 360",170,226,290,360,D,Logical Reasoning,Hard
"If A implies B, B implies C, and C implies D, what must be true if D is false?",A is true,A is false,B is true,C is true,B,Logical Reasoning,Hard
"Find the next string in the series: A1Z, B4Y, C9X, D16W, ?",E20V,E25V,E25U,F25V,B,Logical Reasoning,Hard
"If yesterday's tomorrow is Thursday, what is tomorrow's yesterday?",Tuesday,Wednesday,Thursday,Friday,C,Logical Reasoning,Hard
All the members of the club are doctors. Some doctors are surgeons. Can we conclude that some members of the club are surgeons?,Yes,"No, not necessarily",Only if surgeons are members,None of the above,B,Logical Reasoning,Hard
"Solve the missing term: 10, 14, 28, 32, 64, 68, ?",132,136,140,128,B,Logical Reasoning,Hard
All surgeons are doctors. Ravi is a surgeon. What must be true?,All doctors are surgeons,Ravi is not a doctor,Ravi is a doctor,Ravi is the only surgeon,C,Logical Reasoning,Easy
"What is the next number in the sequence 2, 5, 8, 11, ...?",14,17,13,15,A,Logical Reasoning,Medium
"What is the next number in the sequence 4, 9, 14, 19, ...?",29,25,23,24,D,Logical Reasoning,Medium
"What is the next number in the sequence 7, 11, 15, 19, ...?",27,22,24,23,D,Logical Reasoning,Medium
"What is the next number in the sequence 10, 16, 22, 28, ...?",34,33,40,35,A,Logical Reasoning,Medium
"What is the next number in the sequence 3, 10, 17, 24, ...?",30,31,32,38,B,Logical Reasoning,Medium
"What is the next number in the sequence 8, 16, 24, 32, ...?",48,39,40,41,C,Logical Reasoning,Medium
"What is the next number in the sequence 11, 16, 21, 26, ...?",31,30,36,32,A,Logical Reasoning,Medium
"What is the next number in the sequence 6, 15, 24, 33, ...?",41,43,42,51,C,Logical Reasoning,Medium
A quantity of 50 is increased by 20% and then decreased by 20%. What is the final value?,60,50,48,40,C,Logical Reasoning,Medium
A quantity of 80 is increased by 20% and then decreased by 20%. What is the final value?,64,96,80,76.8,D,Logical Reasoning,Medium
A quantity of 100 is increased by 20% and then decreased by 20%. What is the final value?,120,96,80,100,B,Logical Reasoning,Medium
A quantity of 120 is increased by 20% and then decreased by 20%. What is the final value?,120,115.2,96,144,B,Logical Reasoning,Medium
All A are B and no B are C. Which conclusion must follow?,All B are A,Some A are C,No A are C,All C are A,C,Logical Reasoning,Medium
Some musicians are teachers and all teachers are graduates. What follows?,All graduates are teachers,All musicians are graduates,No graduates are musicians,Some musicians are graduates,D,Logical Reasoning,Medium
No reptiles are warm-blooded and all snakes are reptiles. What follows?,All reptiles are snakes,Some snakes are warm-blooded,No snakes are warm-blooded,All warm-blooded animals are snakes,C,Logical Reasoning,Medium
"If x > y and y > z, which must be true?",z > x,y < z,x = z,x > z,D,Logical Reasoning,Medium
"Exactly one of statements P and Q is true. If P is false, what must be true?",Q is false,Both are true,Q is true,Both are false,C,Logical Reasoning,Hard
What is the value of 5! (5 factorial)?,120,24,60,100,A,Mathematics,Easy
What is the square root of 144?,10,14,12,16,C,Mathematics,Easy
"If a triangle has a base of 8 and a height of 5, what is its area?",40,13,30,20,D,Mathematics,Easy
Solve for x: 4x - 7 = 13.,5,6,4,7,A,Mathematics,Easy
What is the lowest common multiple (LCM) of 6 and 8?,48,24,14,2,B,Mathematics,Easy
Which of the following is a prime number?,9,21,29,27,C,Mathematics,Easy
What is 15% of 200?,15,20,25,30,D,Mathematics,Easy
"If f(x) = 2x^2 - 3, find f(2).",5,8,11,3,A,Mathematics,Easy
What is the greatest common divisor (GCD) of 36 and 48?,6,12,24,4,B,Mathematics,Easy
Convert 3/4 to a decimal.,0.34,0.70,0.75,0.80,C,Mathematics,Easy
What is the perimeter of a rectangle with length 7 and width 4?,22,11,28,14,A,Mathematics,Easy
Which fraction is equivalent to 0.125?,1/4,1/8,1/5,1/2,B,Mathematics,Easy
What is the sum of the interior angles of a triangle?,90 degrees,360 degrees,180 degrees,270 degrees,C,Mathematics,Easy
Calculate 2^5.,10,25,16,32,D,Mathematics,Easy
"What is the mode of the dataset: 2, 4, 4, 5, 7, 9?",5,4,6,7,B,Mathematics,Easy
Expand the expression: (x + 2)(x + 3).,x^2 + 6,x^2 + 5x + 5,x^2 + 5x + 6,x^2 + 6x + 5,C,Mathematics,Easy
"If the circumference of a circle is 10pi, what is its radius?",10,20,3.14,5,D,Mathematics,Easy
Simplify: (x^3 * x^4) / x^2.,x^5,x^6,x^9,x^12,A,Mathematics,Easy
Which angle is considered a right angle?,45 degrees,90 degrees,180 degrees,360 degrees,B,Mathematics,Easy
Evaluate log10(100).,10,100,2,1,C,Mathematics,Easy
What is the volume of a cube with side length 3?,9,27,18,12,B,Mathematics,Easy
"Find the median of the set: 1, 3, 7, 10, 15.",10,5,7,3,C,Mathematics,Easy
"Calculate the mean of 4, 8, 12, 16.",8,12,9,10,D,Mathematics,Easy
Express 0.05 as a fraction in simplest form.,1/20,1/50,5/100,1/5,A,Mathematics,Easy
Solve for y: y/4 = 7.,11,28,3,1.75,B,Mathematics,Easy
Simplify: sqrt(50).,5,25,10,5*sqrt(2),D,Mathematics,Easy
"If a polygon has 6 sides, it is called a:",Hexagon,Pentagon,Heptagon,Octagon,A,Mathematics,Easy
How many degrees are in a full circle?,180,270,360,400,C,Mathematics,Easy
"If x^2 = 81, what are the possible values of x?",9,81,9 and 81,9 and -9,D,Mathematics,Easy
Which number is an integer?,-5,2.5,3/4,sqrt(2),A,Mathematics,Easy
"What is the next number in the sequence: 2, 4, 8, 16, ...?",24,20,32,64,C,Mathematics,Easy
Find the area of a square with perimeter 20.,20,10,15,25,D,Mathematics,Easy
Evaluate 3 + 4 * 2.,11,14,24,10,A,Mathematics,Easy
What is the probability of rolling a 3 on a standard six-sided die?,1/3,1/6,1/2,3/6,B,Mathematics,Easy
Simplify: 2/3 + 1/6.,3/9,1/3,5/6,1/2,C,Mathematics,Easy
What is the value of 10^0?,1,0,10,Undefined,A,Mathematics,Easy
Convert 50% to a decimal.,5.0,0.5,0.05,50.0,B,Mathematics,Easy
What is the length of the hypotenuse of a right triangle with legs 3 and 4?,7,6,5,25,C,Mathematics,Easy
Solve: 5x = 0.,5,1,Undefined,0,D,Mathematics,Easy
Which is the formula for the area of a circle?,pi * r^2,2 * pi * r,pi * d,r^2,A,Mathematics,Easy
What is 3/5 as a percentage?,30%,60%,50%,35%,B,Mathematics,Easy
"If a dozen eggs cost $2.40, how much does one egg cost?",$0.24,$0.12,$0.20,$0.10,C,Mathematics,Easy
Simplify: (2^3)^2.,2^5,2^8,2^10,2^6,D,Mathematics,Easy
What is the complementary angle to 30 degrees?,60 degrees,150 degrees,90 degrees,120 degrees,A,Mathematics,Easy
What is the decimal equivalent of 1/3?,0.3,0.33,0.333...,3.3,C,Mathematics,Easy
Calculate: 15 / (3 + 2).,7,14,10,3,D,Mathematics,Easy
Which of these is a multiple of 7?,21,17,27,34,A,Mathematics,Easy
"If a train travels 120 miles in 2 hours, what is its average speed?",240 mph,60 mph,122 mph,58 mph,B,Mathematics,Easy
Simplify the ratio 15:25.,1:2,5:5,3:5,15:5,C,Mathematics,Easy
Which shape has exactly 3 sides?,Triangle,Square,Pentagon,Rectangle,A,Mathematics,Easy
Evaluate 4! / 3!.,12,4,7,1,B,Mathematics,Easy
"If a = 5, find 2a - 3.",10,-3,7,2,C,Mathematics,Easy
"What is the intersection of sets A={1,2,3} and B={3,4,5}?","{1,2}","{4,5}","{1,2,3,4,5}",{3},D,Mathematics,Easy
Solve for x: x/2 + 3 = 7.,10,8,5,4,B,Mathematics,Easy
Calculate the perimeter of a regular pentagon with side length 6.,24,36,18,30,D,Mathematics,Easy
Simplify: 4x + 5y - 2x + y.,2x + 6y,6x + 6y,2x - 4y,6x + 4y,A,Mathematics,Easy
What is 10% of 500?,10,50,5,500,B,Mathematics,Easy
"If the angles of a triangle are 40, 60, and x, what is x?",90,100,80,60,C,Mathematics,Easy
"What is the volume of a rectangular prism with sides 2, 3, and 4?",9,14,20,24,D,Mathematics,Easy
Evaluate: 3^2 + 4^2.,25,14,7,49,A,Mathematics,Easy
What is the y-value when x = 0 in the equation y = 5x - 2?,5,-2,0,3,B,Mathematics,Easy
"Find the distance between points (0,0) and (0,5).",0,25,5,10,C,Mathematics,Easy
What is the solution to 2(x - 1) = 4?,1,2,4,3,D,Mathematics,Easy
Express 45 minutes as a fraction of an hour in simplest form.,3/4,45/60,1/2,2/3,A,Mathematics,Easy
Calculate: 0.5 * 0.2.,0.52,0.1,1.0,0.01,B,Mathematics,Easy
"If a = 1 and b = 4, evaluate sqrt(a) + sqrt(b).",5,1,4,3,D,Mathematics,Easy
Which of the following is equivalent to 10^3?,1000,100,30,10000,A,Mathematics,Easy
What is the value of pi approximately?,2.14,3.14,3.141,3.41,B,Mathematics,Easy
What is the area of a triangle with base 10 and height 4?,40,14,7,20,D,Mathematics,Easy
Which algebraic expression represents 'twice a number less 5'?,2(n - 5),2n - 5,5 - 2n,n^2 - 5,B,Mathematics,Easy
Evaluate sin(90 degrees).,0,0.5,1,Undefined,C,Mathematics,Easy
How many sides does a rhombus have?,3,5,6,4,D,Mathematics,Easy
What is the primary characteristic of a scalene triangle?,All sides are different lengths,Two sides are equal,All sides are equal,It has a right angle,A,Mathematics,Easy
Simplify: (3/4) * (8/9).,11/13,2/3,24/36,1/2,B,Mathematics,Medium
"If log2(x) = 3, what is the value of x?",8,6,9,5,A,Mathematics,Medium
"Find the equation of the line passing through (1, 2) and (3, 6).",y = 2x + 1,y = 2x,y = 3x - 1,y = x + 1,B,Mathematics,Medium
A store discounts an item by 20% and then by another 10%. What is the total discount percentage?,30%,28%,32%,25%,C,Mathematics,Medium
What is the sum of the first 10 terms of an arithmetic sequence starting at 2 with a common difference of 3?,160,145,155,170,C,Mathematics,Medium
"If sin(theta) = 3/5 and theta is in the first quadrant, what is tan(theta)?",4/5,3/5,4/3,3/4,D,Mathematics,Medium
Solve for x: 3^(x+1) = 27.,2,1,3,0,A,Mathematics,Medium
What is the derivative of f(x) = 4x^3 - 2x?,12x^2 - 2,12x^2 - 2x,4x^2 - 2,12x^3 - 2,A,Mathematics,Medium
"Find the distance between the points (-2, -3) and (4, 5).",14,10,8,12,B,Mathematics,Medium
How many distinct permutations are there of the word 'APPLE'?,120,24,60,30,C,Mathematics,Medium
"Solve the system of equations: x + y = 7, 2x - y = 2.","x=4, y=3","x=2, y=5","x=5, y=2","x=3, y=4",D,Mathematics,Medium
"If a fair coin is flipped 3 times, what is the probability of getting exactly 2 heads?",1/8,3/8,1/2,3/4,B,Mathematics,Medium
What is the surface area of a sphere with radius 3? (Use SA = 4*pi*r^2),12pi,27pi,36pi,9pi,C,Mathematics,Medium
Solve for x: |2x - 1| = 5.,x = 3 or x = -2,x = 3,x = -2,x = 2 or x = -3,A,Mathematics,Medium
Find the area of an equilateral triangle with side length 4.,8,4*sqrt(3),16,8*sqrt(3),B,Mathematics,Medium
"If 5x - 3y = 12 and y = 1, what is x?",2,3,15/5,1,B,Mathematics,Medium
The sum of two consecutive integers is 41. What is the smaller integer?,19,21,20,18,C,Mathematics,Medium
"What is the midpoint of the line segment connecting (2, 4) and (6, 10)?","(4, 6)","(3, 5)","(4, 7)","(8, 14)",C,Mathematics,Medium
